-357	-821	11	0,46	106	0
-363	-1069	10	0,33	160	0
-369	28	10	0,24	65	0
-370	-351	10	0,03	64	0
-381	532	12	0,55	157	0
-391	-326	11	0,26	13	0
-398	722	12	0,48	41	0
-399	-102	13	0,43	172	0
-400	-17	9	0,47	84	0
-414	920	12	0,1	53	0
-423	-569	11	0,37	8	0
-433	-454	12	0,59	24	0
-439	825	10	0,36	88	0
-440	-646	12	0,25	77	0
-528	-157	13	0,21	123	0
-561	-375	10	0,58	142	0
-571	200	10	0,68	147	0
-580	895	10	0,25	145	0
-582	827	11	0,15	43	0
-607	-370	12	0,31	150	0
-612	611	10	0,17	180	0
-613	-297	10	0,29	99	0
-646	-191	10	0,64	115	0
-666	100	11	0,39	51	0
-683	561	10	0,34	134	0
-766	184	14	0,16	88	0
-786	-148	10	0,65	66	0
-786	-625	10	0,39	29	0
-809	-790	12	0,53	177	0
-863	-618	9	0,43	56	0
-970	-399	10	0,19	158	0
